# k (MeV)	C(k)
0.197327	0.673912
2.176536	0.674012
4.155745	0.674279
6.134955	0.674712
8.114164	0.675311
10.093373	0.676074
12.072582	0.677
14.051792	0.678088
16.031001	0.679335
18.01021	0.680738
19.989419	0.682297
21.968629	0.684007
23.947838	0.685866
25.927047	0.68787
27.906256	0.690016
29.885466	0.692299
31.864675	0.694717
33.843884	0.697265
35.823093	0.699937
37.802302	0.702731
39.781512	0.705641
41.760721	0.708661
43.73993	0.711789
45.719139	0.715017
47.698349	0.718341
49.677558	0.721755
51.656767	0.725255
53.635976	0.728834
55.615186	0.732487
57.594395	0.73621
59.573604	0.739995
61.552813	0.743838
63.532023	0.747733
65.511232	0.751675
67.490441	0.755658
69.46965	0.759677
71.44886	0.763726
73.428069	0.7678
75.407278	0.771895
77.386487	0.776005
79.365697	0.780124
81.344906	0.784249
83.324115	0.788375
85.303324	0.792497
87.282533	0.79661
89.261743	0.800711
91.240952	0.804795
93.220161	0.808858
95.19937	0.812897
97.17858	0.816908
99.157789	0.820887
101.136998	0.824832
103.116207	0.828739
105.095417	0.832605
107.074626	0.836427
109.053835	0.840204
111.033044	0.843932
113.012254	0.847609
114.991463	0.851234
116.970672	0.854805
118.949881	0.858319
120.929091	0.861776
122.9083	0.865173
124.887509	0.868511
126.866718	0.871787
128.845927	0.875001
130.825137	0.878153
132.804346	0.881241
134.783555	0.884265
136.762764	0.887225
138.741974	0.89012
140.721183	0.892951
142.700392	0.895718
144.679601	0.89842
146.658811	0.901059
148.63802	0.903633
150.617229	0.906145
152.596438	0.908593
154.575648	0.91098
156.554857	0.913305
158.534066	0.915569
160.513275	0.917773
162.492485	0.919918
164.471694	0.922005
166.450903	0.924034
168.430112	0.926007
170.409321	0.927925
172.388531	0.929789
174.36774	0.9316
176.346949	0.933358
178.326158	0.935066
180.305368	0.936724
182.284577	0.938333
184.263786	0.939895
186.242995	0.941411
188.222205	0.942881
190.201414	0.944308
192.180623	0.945692
194.159832	0.947034
196.139042	0.948336
198.118251	0.949599
200.09746	0.950823
202.076669	0.95201
204.055879	0.953162
206.035088	0.954278
208.014297	0.955361
209.993506	0.956411
211.972715	0.957429
213.951925	0.958416
215.931134	0.959374
217.910343	0.960303
219.889552	0.961204
221.868762	0.962078
223.847971	0.962926
225.82718	0.963749
227.806389	0.964547
229.785599	0.965322
231.764808	0.966074
233.744017	0.966804
235.723226	0.967513
237.702436	0.968202
239.681645	0.96887
241.660854	0.96952
243.640063	0.970151
245.619273	0.970764
247.598482	0.97136
249.577691	0.97194
251.5569	0.972503
253.53611	0.973051
255.515319	0.973584
257.494528	0.974102
259.473737	0.974607
261.452946	0.975098
263.432156	0.975575
265.411365	0.976041
267.390574	0.976494
269.369783	0.976935
271.348993	0.977365
273.328202	0.977784
275.307411	0.978193
277.28662	0.978591
279.26583	0.978979
281.245039	0.979357
283.224248	0.979727
285.203457	0.980087
287.182667	0.980438
289.161876	0.980781
291.141085	0.981116
293.120294	0.981443
295.099504	0.981762
297.078713	0.982074
299.057922	0.982379
301.037131	0.982677
303.01634	0.982967
304.99555	0.983252
306.974759	0.98353
308.953968	0.983801
310.933177	0.984067
312.912387	0.984327
314.891596	0.984581
316.870805	0.98483
