# k (MeV)	C(k)
0.10000000149011612	1.1645486221435973e-122
1.0	1.1460258347645151e-11
2.0	9.549864073622464e-06
3.0	0.0007548777403545553
4.0	0.006168917458607777
5.0	0.020727576190065287
6.0	0.045124443895361945
7.0	0.07715401421925819
8.0	0.11389660325779105
9.0	0.1528585297072345
10.0	0.19225203712851055
13.0	0.30361892026929255
16.0	0.39812743469425277
19.0	0.47585121864540997
22.0	0.5396718793087643
25.0	0.5924931332579988
28.0	0.6366769639285607
31.0	0.6740392018062403
34.0	0.7059575640467763
37.0	0.7334802010701581
40.0	0.7574114353406826
43.0	0.7783754989545457
46.0	0.7968622835255362
49.0	0.8132609867475326
52.0	0.8278841026632158
55.0	0.8409853018719863
60.0	0.8599861701807873
65.0	0.876076849044072
70.0	0.8898195102843427
75.0	0.9016413030808298
80.0	0.911873189528143
85.0	0.9207753373217656
90.0	0.9285557798752183
95.0	0.9353825623775073
100.0	0.9413935085400957
105.0	0.9467023179068769
110.0	0.951404227001653
115.0	0.9555791113597869
120.0	0.9592948576797846
125.0	0.96260925715777
130.0	0.965571815436206
135.0	0.9682254903967532
140.0	0.970607211508272
145.0	0.972748997168774
150.0	0.9746788331331602
155.0	0.976421025451748
160.0	0.9779971705555768
165.0	0.9794258620914046
170.0	0.9807233625569356
175.0	0.9819043026398867
180.0	0.9829811949481677
185.0	0.9839654595718049
190.0	0.9848666793108878
195.0	0.9856935966984803
200.0	0.9864539944801017
205.0	0.9871545547301347
210.0	0.9878012834682149
215.0	0.9883994419447755
220.0	0.9889537720491248
225.0	0.989468597701643
230.0	0.9899472579441849
235.0	0.9903934589290854
240.0	0.9908097911276796
245.0	0.9911991093751011
250.0	0.9915636899015168
255.0	0.9919055083694266
260.0	0.9922265773232821
265.0	0.9925285753309636
270.0	0.9928128997414443
275.0	0.9930809457563948
280.0	0.9933341889113808
285.0	0.9935734775631851
290.0	0.9937998851333665
295.0	0.9940144170725151
300.0	0.9942177878641264
305.0	0.9944107589875532
310.0	0.994594264216336
315.0	0.9947686878425107
320.0	0.9949347817098331
325.0	0.9950929465135363
330.0	0.9952437542256742
335.0	0.9953876599823919
340.0	0.995524962911472
345.0	0.9956562550987529
350.0	0.9957818571541948
355.0	0.9959019109311499
360.0	0.996016986448429
365.0	0.9961271344912704
370.0	0.9962328713179213
375.0	0.996334212813883
380.0	0.9964314551403555
385.0	0.9965247772726133
390.0	0.9966146419773203
395.0	0.9967009361149483
400.0	0.9967839652937047
