# k (MeV)	C(k)
0.10000000149011612	0.00013185712867151169
1.0	-3.8582056807144144e-05
2.0	0.00015275019491214296
3.0	0.0019490988236186024
4.0	0.009153257268025204
5.0	0.02466974061842077
6.0	0.05313771279763035
7.0	0.092438082529178
8.0	0.12786313798267546
9.0	0.1678385115093858
10.0	0.21160159356671573
13.0	0.3146592492433629
16.0	0.3930005507057815
19.0	0.4493316003100072
22.0	0.48815349711433215
25.0	0.5161076221194809
28.0	0.5404358479051907
31.0	0.5577851931291229
34.0	0.5669841812785332
37.0	0.5759811914543063
40.0	0.585770947344093
43.0	0.5913182711857943
46.0	0.5941649825394751
49.0	0.5995223326095535
52.0	0.6054634202022735
55.0	0.6086706974781584
60.0	0.6163126053823613
65.0	0.6229513965063602
70.0	0.6301242063596363
75.0	0.6392881602141997
80.0	0.6496714146324094
85.0	0.6611725360661602
90.0	0.6724265229656283
95.0	0.6843071175199913
100.0	0.6971687112067602
105.0	0.710364193590679
110.0	0.7237958442593483
115.0	0.7368163832023757
120.0	0.7501641917836929
125.0	0.7640226350085052
130.0	0.7777962599388255
135.0	0.7905557834713322
140.0	0.8028829273716862
145.0	0.8150386562713425
150.0	0.8269109319958298
155.0	0.8381863372399185
160.0	0.8487013153676047
165.0	0.8587360536819194
170.0	0.8682269310486885
175.0	0.8772362496949437
180.0	0.8856823051414366
185.0	0.8935605042562023
190.0	0.900883468027501
195.0	0.9076968110260583
200.0	0.9140906752878928
205.0	0.9199823733986825
210.0	0.9254120117808972
215.0	0.9304575212851285
220.0	0.9351431573061046
225.0	0.9394770609636423
230.0	0.9434443132861616
235.0	0.9470509826091099
240.0	0.9504010230690165
245.0	0.9535420311780217
250.0	0.9564369560276538
255.0	0.9590330896350117
260.0	0.961409144563423
265.0	0.9636541023431694
270.0	0.9657634166596827
275.0	0.9676984173619223
280.0	0.9694420428391805
285.0	0.9710615508302958
290.0	0.9725993364572671
295.0	0.9740428569497879
300.0	0.975365106443651
305.0	0.976556105469561
310.0	0.9776435357966529
315.0	0.978676582468956
320.0	0.9796580244154899
325.0	0.9805491956548081
330.0	0.9813616067055434
335.0	0.9821175707496098
340.0	0.9828652961817607
345.0	0.983578469289802
350.0	0.984221989932348
355.0	0.9847961232788136
360.0	0.9853316031882191
365.0	0.985871521624601
370.0	0.9863916718491279
375.0	0.9868693750625452
380.0	0.9873195551477099
385.0	0.9877582356680509
390.0	0.9881904416108755
395.0	0.9886022729459575
400.0	0.9889889932323364
