# k (MeV)	C(k)
0.10000000149011612	0.12807574870244698
1.0	0.0019484229448455438
2.0	0.001393840036212496
3.0	0.0013664965289494403
4.0	0.01425345067610637
5.0	0.025436576934877393
6.0	0.05033098447818274
7.0	0.08729641430114586
8.0	0.1205235755911237
9.0	0.15778707270987588
10.0	0.19729538706304253
13.0	0.2872280545270113
16.0	0.35472139327160934
19.0	0.40125847207912274
22.0	0.4262879293840751
25.0	0.44665251173848763
28.0	0.46501096292649324
31.0	0.47350288050237216
34.0	0.47657423580566155
37.0	0.4819889516374283
40.0	0.4871633552016512
43.0	0.48859797655812526
46.0	0.48867457445402784
49.0	0.49225356842733853
52.0	0.49609337790315855
55.0	0.4978535922422813
60.0	0.5062048327638513
65.0	0.5113033409898132
70.0	0.5186299343265417
75.0	0.5289741350975354
80.0	0.5410893352527055
85.0	0.5541883765654438
90.0	0.567745579382178
95.0	0.5821991043062128
100.0	0.5973493476229655
105.0	0.6133898486943035
110.0	0.6292760956943579
115.0	0.6450684033160061
120.0	0.6609690877515463
125.0	0.6776722242271742
130.0	0.6941173200545594
135.0	0.7097218732046989
140.0	0.7247290239730709
145.0	0.7395111044929683
150.0	0.7541193007459042
155.0	0.7680986169545367
160.0	0.7810769533766879
165.0	0.7933472751582997
170.0	0.8053233189304408
175.0	0.8167734657776413
180.0	0.8274971187883846
185.0	0.837339352405805
190.0	0.8466690483227246
195.0	0.85549458205113
200.0	0.8637385095317703
205.0	0.871394052160544
210.0	0.8784729535265494
215.0	0.8850715106201806
220.0	0.8912890811598465
225.0	0.8970679740594442
230.0	0.9024240614823247
235.0	0.9073701913730744
240.0	0.9119962992000072
245.0	0.9163292323756885
250.0	0.9203546116922394
255.0	0.924078918368698
260.0	0.9275205751046022
265.0	0.9307524485499687
270.0	0.9338048015283402
275.0	0.936640023208144
280.0	0.9392591115753763
285.0	0.9417207481271344
290.0	0.9440350454401527
295.0	0.9462110488740861
300.0	0.9482446436294575
305.0	0.9501514731557479
310.0	0.9519426636194754
315.0	0.9536188629423834
320.0	0.9551720283129584
325.0	0.9566386333818119
330.0	0.9580116633840918
335.0	0.959304038323107
340.0	0.9605327415110538
345.0	0.9616903870604661
350.0	0.9627849149035358
355.0	0.9638064448616953
360.0	0.9647920481443372
365.0	0.9657363296575938
370.0	0.9666223608339387
375.0	0.967444899231053
380.0	0.9682201747625271
385.0	0.96895270420752
390.0	0.9696495431531711
395.0	0.9703082525912227
400.0	0.9709251471814353
